YEKT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events
2007-2-17,-2,-8,-14,-9,-15,-20,84,74,60,30.51,30.46,30.42,,,,11,11,,0.00,,
2007-2-18,-5,-16,-27,-15,-26,-33,84,73,54,30.42,30.20,29.98,5,3,1,9,2,,0.00,0,
2007-2-19,3,-5,-13,-2,-12,-18,85,76,66,29.98,29.83,29.74,7,6,1,20,11,20,0.00,7,Snow
2007-2-20,5,2,0,3,-5,-6,92,79,72,29.83,29.78,29.77,7,3,1,25,18,31,0.00,8,Snow
2007-2-21,1,-2,-7,-2,-7,-13,85,80,71,29.98,29.89,29.83,7,6,1,16,15,22,0.00,8,Snow
2007-2-22,1,-5,-11,-4,-14,-17,78,74,66,29.98,29.92,29.83,7,6,1,25,14,27,0.00,6,Snow
2007-2-23,5,0,-7,-6,-10,-11,84,71,61,29.98,29.86,29.83,7,7,7,22,16,,0.00,7,Snow
2007-2-24,8,0,-9,7,-2,-13,92,87,78,30.12,29.99,29.95,7,6,2,13,9,,0.00,7,Snow
2007-2-25,0,-9,-18,-9,-17,-22,84,74,60,30.27,30.20,30.15,7,7,5,9,8,16,0.00,3,Snow
2007-2-26,1,-8,-16,-4,-13,-20,85,80,72,30.30,30.27,30.15,7,7,7,18,6,,0.00,6,Snow
2007-2-27,12,6,1,5,-3,-4,85,78,67,30.18,30.13,30.12,7,7,7,20,15,29,0.00,5,Snow
2007-2-28,12,8,3,3,-1,-2,79,71,62,30.30,30.20,30.18,7,7,7,27,15,31,0.00,6,Snow
2007-3-1,15,9,3,5,0,-6,79,64,45,30.42,30.35,30.30,7,7,7,18,16,13,0.00,8,Snow
2007-3-2,19,14,10,16,5,-2,93,71,49,30.36,30.31,30.27,7,6,2,13,8,18,0.00,8,Snow
2007-3-3,23,20,17,19,14,14,93,85,80,30.36,30.30,30.30,7,7,3,13,10,,0.00,8,Snow
2007-3-4,32,26,19,23,18,7,93,78,58,30.45,30.38,30.36,7,7,7,13,9,20,0.00,8,
2007-3-5,32,18,3,7,3,-2,85,58,32,30.57,30.50,30.45,,,,4,3,,0.00,,
2007-3-6,32,18,3,12,3,-2,79,60,35,30.60,30.58,30.54,,,,11,4,,0.00,,
2007-3-7,32,22,12,16,6,3,68,57,38,30.54,30.52,30.42,7,7,7,11,9,,0.00,6,
2007-3-8,28,26,23,23,14,10,100,69,47,30.42,30.40,30.30,7,5,1,9,6,,0.00,8,Snow
2007-3-9,30,24,17,21,19,18,100,91,69,30.33,30.31,30.30,7,4,2,7,4,,0.00,6,Snow
2007-3-10,32,26,19,21,18,14,93,79,64,30.36,30.28,30.27,7,6,2,13,4,,0.00,8,
2007-3-11,26,18,10,16,12,9,92,78,64,30.45,30.40,30.36,6,6,6,16,8,,0.00,0,
2007-3-12,32,18,3,18,9,1,92,78,55,30.42,30.37,30.36,6,5,4,11,4,,0.00,2,
2007-3-13,24,17,10,19,11,7,86,81,73,30.45,30.36,30.21,7,7,7,20,10,,0.00,7,
2007-3-14,24,22,19,23,19,18,100,92,86,30.15,29.94,29.83,7,3,1,27,22,34,0.00,8,Snow
2007-3-15,30,27,24,30,25,25,100,95,80,29.83,29.81,29.71,4,2,1,18,14,,0.00,8,Snow
2007-3-16,35,30,24,34,27,27,100,96,87,29.74,29.65,29.62,7,4,1,13,13,,0.00,8,Snow
2007-3-17,33,30,26,32,28,27,100,92,80,29.74,29.73,29.71,7,6,1,9,7,,0.00,8,Snow
2007-3-18,35,29,23,28,25,23,100,86,65,29.71,29.67,29.59,7,5,0,9,1,,0.00,7,Fog-Snow
2007-3-19,35,24,14,25,20,14,100,89,60,29.95,29.82,29.62,7,6,2,9,4,,0.00,4,Snow
2007-3-20,37,28,19,32,24,19,100,90,80,30.18,30.07,29.98,7,6,1,13,6,,0.00,5,
2007-3-21,42,38,35,36,32,32,93,85,70,30.30,30.21,30.18,6,6,6,16,12,,0.00,6,
2007-3-22,42,37,32,34,32,32,100,85,70,30.36,30.33,30.27,,,,20,15,,0.00,,
2007-3-23,41,38,35,37,34,34,100,90,76,30.39,30.33,30.27,7,5,2,13,13,,0.00,8,Rain
2007-3-24,37,35,33,36,35,28,93,87,70,30.24,30.12,30.06,7,7,4,13,11,22,0.00,8,Rain-Snow
2007-3-25,33,28,24,32,26,19,100,78,56,30.15,30.08,30.04,7,5,0,16,4,20,0.00,6,Fog-Snow
2007-3-26,32,28,23,23,20,12,86,65,44,30.12,30.10,30.06,7,7,7,11,5,18,0.00,5,Snow
2007-3-27,39,28,19,36,25,14,93,83,64,30.06,29.94,29.83,7,6,2,13,4,,0.00,8,Rain-Snow
2007-3-28,42,38,33,36,34,28,93,80,65,29.98,29.89,29.86,7,7,7,16,10,25,0.00,5,
2007-3-29,44,38,32,34,29,19,81,61,37,30.30,30.11,29.92,7,7,7,16,14,22,0.00,3,
2007-3-30,50,37,24,32,26,23,93,68,43,30.33,30.31,30.24,,,,16,6,,0.00,,
2007-3-31,51,43,35,39,31,30,87,72,54,30.24,30.17,30.06,,,,18,14,22,0.00,,
2007-4-1,41,36,30,36,33,21,100,81,52,30.06,29.93,29.86,7,6,3,22,17,34,0.00,6,Rain-Snow
2007-4-2,42,34,26,27,23,21,93,68,52,30.01,29.93,29.71,7,7,7,22,6,34,0.00,6,
2007-4-3,37,36,35,37,30,27,100,90,65,29.68,29.60,29.56,7,6,4,22,19,29,0.00,8,Rain
2007-4-4,51,43,35,36,34,32,93,74,54,29.74,29.67,29.65,7,6,6,18,12,25,0.00,7,
2007-4-5,51,45,39,37,35,32,87,68,47,29.77,29.75,29.71,7,6,5,22,14,29,0.00,6,
2007-4-6,53,47,41,36,35,28,71,57,38,29.74,29.72,29.62,,,,25,19,34,0.00,,
2007-4-7,44,40,35,39,30,23,93,74,52,29.59,29.52,29.47,7,7,7,18,12,27,0.00,7,Rain
2007-4-8,41,34,28,36,30,25,93,83,61,29.68,29.58,29.56,7,7,7,16,8,16,0.00,8,Rain-Snow
2007-4-9,37,32,26,32,30,27,100,93,75,29.74,29.70,29.65,7,6,3,9,8,,0.00,6,Snow
2007-4-10,39,32,24,28,25,21,100,81,49,29.95,29.78,29.74,7,5,1,13,8,,0.00,7,Snow
2007-4-11,39,34,30,30,29,21,100,80,52,30.18,30.11,29.95,7,7,7,13,8,11,0.00,8,Snow
2007-4-12,51,37,23,34,27,21,100,70,35,30.21,30.12,30.01,7,7,7,20,6,27,0.00,5,
2007-4-13,42,38,33,37,29,25,93,75,60,30.01,29.91,29.80,7,7,7,16,9,18,0.00,5,Rain
2007-4-14,41,38,35,37,36,36,100,94,87,29.86,29.75,29.71,7,7,6,13,10,,0.00,8,Rain
2007-4-15,41,37,32,37,36,28,100,84,70,30.09,29.97,29.89,7,6,5,16,7,22,0.00,8,
2007-4-16,44,38,32,36,31,21,100,77,42,30.09,30.09,30.01,7,6,1,16,6,22,0.00,6,
2007-4-17,50,40,30,30,26,25,93,65,40,30.04,30.04,29.95,7,7,7,7,4,,0.00,4,
2007-4-18,53,42,30,28,27,21,86,56,28,30.01,29.98,29.95,,,,13,9,18,0.00,,
2007-4-19,57,44,32,36,30,23,93,60,31,30.09,30.01,30.01,7,7,7,20,5,,0.00,6,
2007-4-20,51,42,32,41,31,28,100,76,41,30.09,29.97,29.80,7,4,2,20,7,25,0.00,8,Rain
2007-4-21,53,47,41,45,39,37,93,82,58,29.77,29.69,29.65,7,6,4,20,14,25,0.00,8,
2007-4-22,57,48,39,46,41,36,100,79,44,30.01,29.90,29.71,7,6,4,22,8,29,0.00,7,Rain
2007-4-23,53,48,41,43,38,28,93,71,38,30.12,30.02,29.95,7,7,7,16,11,18,0.00,6,
2007-4-24,41,36,32,39,33,32,100,91,81,30.12,30.07,29.98,7,6,4,11,3,,0.00,7,Rain
2007-4-25,48,42,35,39,37,25,100,81,43,30.06,30.02,30.01,7,7,5,13,9,20,0.00,8,Rain
2007-4-26,53,40,26,32,28,21,100,60,30,30.12,30.09,30.01,7,7,7,9,6,13,0.00,3,
2007-4-27,53,45,37,46,35,30,87,75,67,29.98,29.83,29.62,7,7,7,20,11,25,0.00,8,Rain
2007-4-28,53,50,44,50,48,43,100,94,76,29.62,29.49,29.42,7,6,2,20,15,27,0.00,8,Rain
2007-4-29,44,37,30,43,29,18,100,75,42,29.68,29.56,29.42,7,6,2,16,7,22,0.00,8,Rain-Snow
2007-4-30,42,36,30,23,19,12,75,49,31,29.89,29.76,29.71,,,,9,7,16,0.00,,
2007-5-1,48,36,23,28,23,18,100,61,34,29.95,29.84,29.56,7,7,7,16,4,25,0.00,8,
2007-5-2,42,37,32,37,32,28,100,87,65,29.56,29.46,29.36,7,4,1,16,13,20,0.00,8,Rain-Snow
2007-5-3,46,39,32,36,34,27,100,78,46,29.74,29.63,29.56,7,6,3,9,5,11,0.00,7,Fog-Rain
2007-5-4,48,39,30,37,32,28,100,80,46,29.74,29.72,29.68,7,6,2,22,6,31,0.00,7,Rain-Snow
2007-5-5,41,37,33,37,33,30,100,92,65,29.74,29.71,29.65,7,4,1,11,4,16,0.00,7,Rain-Snow
2007-5-6,44,37,30,36,25,14,93,58,31,29.95,29.84,29.77,,,,16,7,27,0.00,,
2007-5-7,51,40,30,30,22,19,75,51,30,29.95,29.95,29.86,7,7,7,13,4,20,0.00,6,
2007-5-8,55,44,32,45,33,25,100,68,31,29.92,29.88,29.80,7,6,5,16,10,25,0.00,7,Rain
2007-5-9,55,50,44,50,42,41,100,91,76,29.80,29.73,29.62,7,6,3,16,11,16,0.00,8,Rain
2007-5-10,59,54,48,52,48,46,100,89,63,29.59,29.44,29.30,7,6,4,18,9,20,0.00,8,Rain
2007-5-11,51,48,46,52,48,41,100,92,76,29.42,29.26,29.12,7,6,1,22,7,34,0.00,7,Rain
2007-5-12,60,52,44,43,41,32,93,68,34,29.65,29.54,29.42,7,7,7,13,11,18,0.00,7,Rain
2007-5-13,57,50,44,54,46,41,100,88,71,29.74,29.62,29.53,7,6,3,18,9,25,0.00,8,Rain
2007-5-14,48,45,42,43,42,41,93,85,76,29.80,29.78,29.77,7,7,7,16,7,18,0.00,8,
2007-5-15,55,47,39,41,38,28,93,63,36,29.86,29.77,29.77,7,7,7,18,7,25,0.00,6,
2007-5-16,60,48,37,39,31,28,81,53,29,29.95,29.90,29.86,,,,9,7,,0.00,,
2007-5-17,75,64,53,61,47,36,100,59,47,29.86,29.78,29.65,7,7,7,22,10,25,0.00,6,
2007-5-18,68,60,53,55,54,50,94,80,52,29.98,29.88,29.77,7,7,7,16,12,22,0.00,7,Rain
2007-5-19,69,60,51,52,43,32,94,61,26,30.09,30.04,29.98,,,,9,8,,0.00,,
2007-5-20,73,58,44,48,43,34,93,54,27,30.21,30.16,30.09,,,,7,4,13,0.00,,
2007-5-21,80,70,59,55,48,41,77,51,36,30.12,29.94,29.83,7,7,7,13,8,16,0.00,7,Rain
2007-5-22,77,65,53,52,46,37,72,46,24,29.95,29.86,29.74,7,7,7,18,9,27,0.00,3,
2007-5-23,64,60,57,54,47,37,77,56,37,29.83,29.72,29.59,7,7,7,16,12,27,0.00,5,
2007-5-24,60,50,41,55,46,37,94,82,62,29.83,29.71,29.56,7,7,5,13,7,,0.00,8,Rain
2007-5-25,64,56,48,55,42,27,100,64,26,29.77,29.65,29.56,7,7,7,22,7,34,0.00,6,Rain
2007-5-26,68,56,44,52,44,36,87,64,43,29.95,29.82,29.77,7,7,7,18,9,22,0.00,7,Rain
2007-5-27,78,63,48,57,48,45,88,66,44,30.06,30.00,29.89,,,,16,9,22,0.00,,
2007-5-28,80,70,60,64,58,57,88,68,51,30.04,29.96,29.89,7,7,7,11,9,18,0.00,6,
2007-5-29,87,76,66,66,61,57,94,63,35,29.98,29.93,29.83,7,5,2,20,8,29,0.00,5,Rain-Thunderstorm
2007-5-30,66,60,53,66,58,50,100,93,82,30.12,30.02,29.89,7,6,1,18,5,29,0.00,6,Fog-Rain
2007-5-31,71,58,46,61,50,45,100,82,64,30.15,30.02,29.68,7,7,4,16,5,18,0.00,7,
2007-6-1,73,60,46,66,53,34,88,73,51,29.98,29.72,29.59,7,7,7,22,14,34,0.00,8,
2007-6-2,50,42,35,32,26,23,65,56,43,30.18,30.11,29.98,7,7,7,20,17,29,0.00,7,
2007-6-3,42,38,33,36,32,23,93,68,52,30.01,29.90,29.83,7,6,1,20,9,34,0.00,7,Rain-Snow
2007-6-4,44,38,33,30,27,23,87,66,57,29.98,29.92,29.86,7,7,7,16,12,22,0.00,7,Snow
2007-6-5,42,40,37,36,33,30,93,80,70,30.06,29.94,29.86,7,7,5,16,4,22,0.00,6,Rain
2007-6-6,53,42,32,37,33,30,93,75,50,30.09,30.06,29.95,7,7,7,13,7,16,0.00,5,
2007-6-7,55,48,42,50,43,36,100,85,66,29.95,29.80,29.71,7,6,2,20,15,27,0.00,8,Rain
2007-6-8,57,50,42,48,45,41,100,80,55,29.74,29.74,29.68,7,7,7,9,4,16,0.00,6,Rain
2007-6-9,60,53,46,48,46,43,100,82,59,29.68,29.66,29.62,7,6,5,18,4,16,0.00,8,Rain
2007-6-10,55,48,42,43,43,37,93,74,51,29.65,29.63,29.59,7,7,7,16,5,25,0.00,6,
2007-6-11,50,46,41,48,41,41,100,93,82,29.65,29.55,29.50,7,6,4,13,11,18,0.00,7,Rain
2007-6-12,57,50,44,46,45,39,93,82,51,29.80,29.70,29.68,7,7,7,18,7,27,0.00,6,Rain
2007-6-13,64,53,42,46,44,41,100,73,42,29.86,29.81,29.77,7,7,7,18,9,25,0.00,6,
2007-6-14,73,64,55,61,51,45,94,73,59,29.77,29.73,29.71,7,7,7,20,11,25,0.00,6,Rain
2007-6-15,80,70,59,64,58,55,94,77,51,29.80,29.76,29.71,7,7,4,13,10,31,0.00,6,Rain-Thunderstorm
2007-6-16,73,65,57,63,54,39,100,73,33,29.71,29.58,29.50,7,7,7,25,9,36,0.00,5,
2007-6-17,64,54,44,45,40,37,87,62,37,29.86,29.81,29.71,7,7,7,16,11,22,0.00,2,
2007-6-18,66,55,44,55,44,39,87,67,52,29.83,29.81,29.71,7,7,7,18,10,18,0.00,6,
2007-6-19,75,67,59,64,59,55,100,80,61,29.68,29.60,29.56,7,7,4,16,7,22,0.00,7,Rain
2007-6-20,71,64,57,66,59,57,100,91,78,29.68,29.64,29.56,7,6,3,16,4,18,0.00,6,Rain
2007-6-21,73,65,57,64,60,57,100,86,61,29.65,29.62,29.59,7,5,0,9,3,,0.00,6,Fog-Rain
2007-6-22,80,68,57,68,64,57,100,89,54,29.56,29.39,29.27,7,6,3,16,5,20,0.00,8,Rain
2007-6-23,59,54,50,55,52,45,100,88,63,29.47,29.34,29.24,7,6,1,18,11,25,0.00,8,Rain
2007-6-24,62,53,44,50,44,43,94,78,52,29.59,29.52,29.50,7,7,7,18,7,25,0.00,5,Rain
2007-6-25,69,56,44,57,49,45,100,79,46,29.59,29.57,29.53,7,6,4,9,4,,0.00,5,Rain
2007-6-26,73,65,57,64,57,57,100,91,73,29.53,29.50,29.47,7,6,2,11,9,,0.00,8,Rain
2007-6-27,71,65,59,63,59,59,100,94,73,29.62,29.53,29.50,7,3,0,9,2,,0.00,6,Fog
2007-6-28,78,68,57,66,60,57,100,82,57,29.71,29.66,29.65,7,6,2,9,4,,0.00,5,Fog
2007-6-29,82,71,60,68,63,61,100,76,54,29.83,29.76,29.74,7,6,4,9,3,,0.00,5,Fog
2007-6-30,84,72,60,66,63,61,100,72,48,29.92,29.87,29.83,6,5,4,9,4,,0.00,2,Fog
2007-7-1,86,73,60,70,64,61,100,73,45,29.95,29.93,29.89,7,7,7,9,7,,0.00,5,
2007-7-2,87,76,64,72,67,64,100,77,46,29.92,29.90,29.83,7,5,3,9,6,,0.00,6,Fog
2007-7-3,87,76,64,72,64,55,100,70,33,29.83,29.76,29.65,6,4,2,11,2,13,0.00,4,Fog
2007-7-4,84,72,59,66,61,57,100,76,45,29.68,29.64,29.56,7,7,2,16,3,36,0.00,4,Fog-Rain-Thunderstorm
2007-7-5,73,66,60,70,62,61,100,94,83,29.59,29.55,29.47,7,5,2,13,4,,0.00,6,Rain-Thunderstorm
2007-7-6,75,68,62,70,64,63,100,92,69,29.65,29.54,29.50,7,5,0,9,4,,0.00,5,Fog-Rain
2007-7-7,84,72,60,70,64,61,100,80,58,29.77,29.70,29.65,7,6,3,7,3,,0.00,2,Fog
2007-7-8,86,74,62,70,65,61,100,74,48,29.77,29.74,29.62,7,6,5,7,6,,0.00,1,
2007-7-9,82,73,64,70,67,64,100,88,65,29.62,29.57,29.50,7,6,2,11,8,18,0.00,3,Rain
2007-7-10,77,70,62,68,64,55,100,78,47,29.65,29.56,29.56,6,6,3,13,5,16,0.00,8,Rain
2007-7-11,75,66,57,68,58,55,100,82,65,29.77,29.69,29.65,6,6,5,11,9,,0.00,6,Rain
2007-7-12,84,73,62,72,66,63,100,86,61,29.80,29.75,29.74,6,6,5,11,4,18,0.00,6,Rain
2007-7-13,84,74,64,72,67,63,100,77,48,29.89,29.84,29.83,6,5,3,9,3,,0.00,3,Fog
2007-7-14,82,71,60,68,64,55,100,72,39,29.89,29.86,29.86,6,4,2,11,3,,0.00,3,Fog
2007-7-15,82,71,60,68,61,59,94,73,54,29.95,29.92,29.89,6,6,6,11,4,,0.00,3,
2007-7-16,86,74,62,70,64,63,100,74,51,29.95,29.87,29.74,6,6,4,13,5,18,0.00,2,
2007-7-17,77,70,64,68,62,61,94,79,65,29.74,29.58,29.44,6,6,6,20,8,27,0.00,6,
2007-7-18,73,66,60,63,62,59,100,81,65,29.50,29.49,29.47,6,6,6,16,13,18,0.00,5,
2007-7-19,64,62,59,63,62,55,100,96,88,29.53,29.50,29.47,6,6,3,18,8,25,0.00,7,Rain
2007-7-20,66,60,53,61,55,54,100,88,73,29.53,29.50,29.44,6,6,6,18,9,22,0.00,4,
2007-7-21,66,60,55,59,56,55,100,91,68,29.47,29.43,29.42,6,6,4,13,9,20,0.00,5,Rain
2007-7-22,55,52,50,54,48,43,94,83,67,29.47,29.47,29.44,6,6,6,16,9,20,0.00,6,Rain
2007-7-23,53,50,48,50,48,46,100,95,82,29.65,29.54,29.44,6,6,2,16,10,27,0.00,8,Rain
2007-7-24,51,50,48,50,46,46,100,96,88,29.83,29.71,29.65,6,6,4,13,10,20,0.00,8,Rain
2007-7-25,68,56,44,54,48,45,100,76,52,29.92,29.87,29.83,6,6,5,11,9,18,0.00,8,Rain
2007-7-26,71,60,48,57,52,46,100,76,50,29.98,29.95,29.92,6,6,6,13,5,18,0.00,6,
2007-7-27,69,63,57,59,54,54,100,78,68,29.92,29.81,29.68,6,6,6,13,7,18,0.00,8,Rain
2007-7-28,73,66,60,63,57,55,94,79,65,29.68,29.62,29.59,6,6,6,16,8,22,0.00,6,
2007-7-29,75,67,59,63,61,59,100,80,57,29.80,29.71,29.68,6,6,6,11,9,18,0.00,5,
2007-7-30,75,65,55,64,58,55,100,88,65,29.89,29.81,29.80,6,6,4,9,3,13,0.00,5,Fog-Rain
2007-7-31,77,67,57,68,60,57,100,85,61,29.95,29.88,29.86,6,3,0,7,2,,0.00,4,Fog
2007-8-1,82,68,53,64,59,52,100,75,39,30.04,29.99,29.95,6,3,0,7,4,,0.00,1,Fog
2007-8-2,82,70,59,68,61,57,100,76,54,30.04,30.02,30.01,6,6,6,11,3,,0.00,3,Fog
2007-8-3,80,72,64,68,66,63,100,84,58,30.12,30.07,30.06,6,4,1,9,1,,0.00,4,Fog-Rain-Thunderstorm
2007-8-4,78,68,59,68,62,59,100,90,65,30.09,30.08,30.01,6,5,1,7,0,,0.00,4,Fog-Rain
2007-8-5,71,64,57,63,60,57,100,93,73,30.04,30.04,29.98,6,3,0,9,2,,0.00,5,Fog
2007-8-6,80,68,57,70,63,57,100,85,61,29.95,29.93,29.83,6,4,0,16,3,20,0.00,6,Fog-Rain
2007-8-7,75,67,59,66,62,59,100,89,69,29.86,29.85,29.77,6,6,2,11,5,,0.00,5,Rain
2007-8-8,64,58,51,63,53,46,100,82,56,30.04,29.93,29.80,6,6,6,18,7,25,0.00,4,Rain
2007-8-9,64,56,48,50,48,46,100,81,56,30.06,30.04,30.04,6,6,3,16,8,22,0.00,6,Rain
2007-8-10,75,60,46,66,56,46,100,85,65,30.04,29.95,29.83,6,6,6,13,4,20,0.00,6,
2007-8-11,77,68,59,61,58,52,94,70,53,29.86,29.80,29.71,6,6,6,20,8,31,0.00,1,
2007-8-12,64,55,46,50,45,41,93,65,51,30.06,29.98,29.80,6,6,6,13,12,25,0.00,4,
2007-8-13,66,52,39,50,43,37,100,75,46,30.12,30.10,30.01,6,6,6,11,3,18,0.00,3,
2007-8-14,62,52,42,54,46,43,100,80,55,30.06,30.03,30.01,6,6,6,9,5,13,0.00,5,Fog-Rain
2007-8-15,73,62,51,63,54,50,100,81,65,30.01,29.99,29.95,6,6,6,11,8,,0.00,8,Rain
2007-8-16,77,68,59,68,60,59,100,85,61,30.01,29.95,29.95,6,6,6,11,6,,0.00,4,
2007-8-17,86,74,62,70,63,61,94,75,45,30.06,30.02,30.01,,,,11,10,,0.00,,
2007-8-18,86,75,64,68,63,61,94,73,45,30.12,30.07,30.06,6,6,6,9,8,,0.00,1,
2007-8-19,87,74,60,68,63,61,100,74,40,30.15,30.12,30.09,6,5,4,9,4,,0.00,0,Fog
